TeamUID,Cohort,Group,TBL1_TBL3_diff,TBL1_TBL3_1_diff,TBL1_TBL3_2_diff,TBL1_TBL3_3_diff,TBL1_TBL3_4_diff,TBL1_TBL3_5_diff,TBL1_TeamRating,TBL1_1_Engagement,TBL1_2_Conflict,TBL1_3_Roles,TBL1_4_DecisionMkg,TBL1_5_Planning,TBL2_TeamRating,TBL2_1_Engagement,TBL2_2_Conflict,TBL2_3_Roles,TBL2_4_DecisionMkg,TBL2_5_Planning,TBL3_TeamRating,TBL3_1_Engagement,TBL3_2_Conflict,TBL3_3_Roles,TBL3_4_DecisionMkg,TBL3_5_Planning
201901,2019,1,4,0,1,1,1,1,14,4,3,2,3,2,17,4,4,2,4,3,18,4,4,3,4,3
201902,2019,2,2,1,0,0,0,1,15,3,4,3,3,2,16,3,4,2,4,3,17,4,4,3,3,3
201903,2019,3,2,0,0,0,1,1,18,4,4,4,3,3,20,4,4,4,4,4,20,4,4,4,4,4
201904,2019,4,5,0,1,2,0,2,14,4,3,2,3,2,17,4,4,2,3,4,19,4,4,4,3,4
201905,2019,5,4,1,1,1,1,0,15,3,3,3,3,3,20,4,4,4,4,4,19,4,4,4,4,3
201906,2019,6,6,1,1,0,2,2,13,3,3,3,2,2,18,4,4,3,4,3,19,4,4,3,4,4
201907,2019,7,6,0,1,2,1,2,14,4,3,2,3,2,20,4,4,4,4,4,20,4,4,4,4,4
201908,2019,8,3,1,1,0,0,1,16,3,3,4,3,3,20,4,4,4,4,4,19,4,4,4,3,4
201909,2019,9,1,0,0,0,0,1,18,4,4,3,4,3,18,4,4,2,4,4,19,4,4,3,4,4
201910,2019,10,9,1,1,3,2,2,11,3,3,1,2,2,17,4,4,3,3,3,20,4,4,4,4,4
201911,2019,11,8,1,1,2,2,2,12,3,3,2,2,2,20,4,4,4,4,4,20,4,4,4,4,4
201912,2019,12,0,1,-1,0,-1,1,14,3,4,2,3,2,9999,9999,9999,9999,9999,9999,14,4,3,2,2,3
201913,2019,13,2,0,0,2,-1,1,17,4,4,2,4,3,16,4,4,2,4,2,19,4,4,4,3,4
201914,2019,14,4,2,1,-1,1,1,14,2,3,4,3,2,19,4,4,4,4,3,18,4,4,3,4,3
201915,2019,15,0,1,-1,0,1,-1,15,3,4,2,2,4,15,3,4,2,3,3,15,4,3,2,3,3
201916,2019,16,4,1,0,1,1,1,16,3,4,3,3,3,18,4,3,4,3,4,20,4,4,4,4,4
201917,2019,17,4,0,0,2,1,1,14,4,3,2,3,2,9999,9999,9999,9999,9999,9999,18,4,3,4,4,3
201918,2019,18,5,0,1,2,0,2,14,4,3,2,3,2,17,4,4,3,3,3,19,4,4,4,3,4
201919,2019,19,2,1,-1,1,0,1,16,3,4,2,4,3,9999,9999,9999,9999,9999,9999,18,4,3,3,4,4
201920,2019,20,6,0,1,2,1,2,14,4,3,2,3,2,19,4,4,4,3,4,20,4,4,4,4,4
201921,2019,21,5,0,1,1,2,1,15,4,3,3,2,3,19,4,4,4,4,3,20,4,4,4,4,4
201922,2019,22,4,1,0,1,1,1,13,3,4,1,3,2,16,4,4,2,3,3,17,4,4,2,4,3
201923,2019,23,2,0,0,0,1,1,18,4,4,4,3,3,18,4,4,3,4,3,20,4,4,4,4,4
201924,2019,24,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,20,4,4,4,4,4,20,4,4,4,4,4
201925,2019,25,4,1,1,1,0,1,13,3,3,2,3,2,18,4,4,3,4,3,17,4,4,3,3,3
201926,2019,26,6,1,0,2,2,1,12,3,4,2,1,2,18,4,4,4,3,3,18,4,4,4,3,3
202001,2020,1,6,1,0,1,1,3,12,3,4,2,3,0,18,4,4,3,4,3,18,4,4,3,4,3
202002,2020,2,3,0,1,0,0,2,14,4,3,3,3,1,15,4,4,2,3,2,17,4,4,3,3,3
202003,2020,3,4,1,0,1,1,1,15,3,4,3,3,2,19,4,4,4,4,3,19,4,4,4,4,3
202004,2020,4,4,1,1,0,1,1,14,3,3,3,3,2,14,3,3,2,3,3,18,4,4,3,4,3
202005,2020,5,0,0,0,0,1,-1,19,4,4,4,3,4,19,4,4,4,3,4,19,4,4,4,4,3
202006,2020,6,-1,0,0,-1,0,0,15,3,4,3,3,2,15,4,4,2,3,2,14,3,4,2,3,2
202007,2020,7,10,2,3,2,1,2,10,2,1,2,3,2,16,3,4,3,3,3,20,4,4,4,4,4
202008,2020,8,5,1,0,2,1,1,15,3,4,2,3,3,20,4,4,4,4,4,20,4,4,4,4,4
202009,2020,9,2,1,0,1,0,0,15,3,4,2,3,3,17,4,4,3,3,3,17,4,4,3,3,3
202010,2020,10,4,1,0,1,1,1,15,3,4,2,3,3,18,4,4,2,4,4,19,4,4,3,4,4
202011,2020,11,2,1,0,0,0,1,15,3,4,3,3,2,16,4,4,2,3,3,17,4,4,3,3,3
202012,2020,12,5,1,0,2,1,1,15,3,4,2,3,3,17,4,4,3,3,3,20,4,4,4,4,4
202013,2020,13,5,1,1,0,1,2,14,3,3,3,3,2,16,4,4,2,3,3,19,4,4,3,4,4
202014,2020,14,6,1,0,2,1,2,14,3,4,2,3,2,19,4,4,3,4,4,20,4,4,4,4,4
202015,2020,15,5,1,0,2,1,1,14,3,4,2,3,2,17,3,4,3,4,3,19,4,4,4,4,3
202016,2020,16,0,0,0,0,0,0,20,4,4,4,4,4,17,4,3,3,3,4,20,4,4,4,4,4
202017,2020,17,1,1,0,0,0,0,13,3,3,2,3,2,16,4,4,3,3,2,14,4,3,2,3,2
202018,2020,18,7,1,0,2,1,3,13,3,4,2,3,1,16,4,4,3,3,2,20,4,4,4,4,4
202019,2020,19,2,1,0,1,0,0,18,3,4,3,4,4,18,4,4,3,3,4,20,4,4,4,4,4
202020,2020,20,2,1,0,1,0,0,16,3,4,3,3,3,16,4,3,3,4,2,18,4,4,4,3,3
202021,2020,21,4,1,0,1,1,1,14,3,4,2,3,2,18,4,4,3,4,3,18,4,4,3,4,3
202022,2020,22,4,1,0,1,1,1,15,3,4,3,3,2,18,3,4,4,4,3,19,4,4,4,4,3
202023,2020,23,7,1,0,2,1,3,13,3,4,2,3,1,18,4,4,3,4,3,20,4,4,4,4,4
202024,2020,24,6,1,0,2,1,2,13,3,3,2,3,2,20,4,4,4,4,4,19,4,3,4,4,4
202025,2020,25,4,1,1,1,-1,2,14,3,3,2,4,2,16,3,4,3,4,2,18,4,4,3,3,4
202101,2021,1,0,0,0,0,0,0,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
202102,2021,2,6,0,1,2,1,2,14,4,3,2,3,2,17,4,4,2,4,3,20,4,4,4,4,4
202103,2021,3,2,0,0,1,0,1,15,4,4,2,3,2,17,4,4,2,3,4,17,4,4,3,3,3
202104,2021,4,0,0,0,0,0,0,20,4,4,4,4,4,18,4,3,3,4,4,20,4,4,4,4,4
202105,2021,5,7,1,2,2,1,1,11,2,2,2,3,2,16,3,4,2,4,3,18,3,4,4,4,3
202106,2021,6,3,1,0,1,1,0,17,3,4,3,3,4,19,4,4,4,3,4,20,4,4,4,4,4
202107,2021,7,0,0,0,-1,0,1,19,4,4,5,4,2,15,4,3,3,3,2,19,4,4,4,4,3
202108,2021,8,0,0,0,0,0,0,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
202109,2021,9,3,0,1,1,1,0,17,4,3,3,3,4,18,4,4,3,4,3,20,4,4,4,4,4
202110,2021,10,3,1,0,0,1,1,17,3,4,4,3,3,20,4,4,4,4,4,20,4,4,4,4,4
202111,2021,11,2,0,0,1,-1,2,16,4,4,2,4,2,18,4,4,3,3,4,18,4,4,3,3,4
202112,2021,12,2,0,0,1,1,0,18,4,4,3,3,4,20,4,4,4,4,4,20,4,4,4,4,4
202113,2021,13,1,0,0,2,0,-1,17,4,4,2,3,4,18,4,4,4,3,3,18,4,4,4,3,3
202114,2021,14,1,0,0,2,0,-1,18,4,4,2,4,4,17,4,4,2,4,3,19,4,4,4,4,3
202115,2021,15,1,-1,1,1,-1,1,16,4,3,3,4,2,16,3,4,4,3,2,17,3,4,4,3,3
202116,2021,16,3,0,0,1,0,2,17,4,4,3,4,2,19,4,4,4,3,4,20,4,4,4,4,4
202117,2021,17,2,0,0,2,1,-1,17,4,4,2,3,4,19,4,4,3,4,4,19,4,4,4,4,3
202118,2021,18,2,1,0,1,0,0,17,3,4,3,3,4,16,4,4,2,4,2,19,4,4,4,3,4
202119,2021,19,2,0,-1,2,0,1,15,4,4,2,3,2,17,4,4,3,4,2,17,4,3,4,3,3
202120,2021,20,3,0,0,2,1,0,17,4,4,2,3,4,9999,9999,9999,9999,9999,9999,20,4,4,4,4,4
202121,2021,21,2,0,0,1,0,1,18,4,4,3,4,3,19,4,4,3,4,4,20,4,4,4,4,4
202122,2021,22,2,0,0,2,0,0,17,4,4,2,4,3,15,4,4,2,3,2,19,4,4,4,4,3
202123,2021,23,2,1,0,0,0,1,17,3,4,4,4,2,20,4,4,4,4,4,19,4,4,4,4,3
202124,2021,24,4,0,0,2,1,1,16,4,4,2,3,3,17,4,4,4,3,2,20,4,4,4,4,4
202125,2021,25,3,0,0,1,1,1,15,4,4,2,3,2,18,4,4,3,4,3,18,4,4,3,4,3
