Cohort,Group,TBL1_TeamRating,TBL1_1_Engagement,TBL1_2_Conflict,TBL1_3_Roles,TBL1_4_DecisionMkg,TBL1_5_Planning,TBL2_TeamRating,TBL2_1_Engagement,TBL2_2_Conflict,TBL2_3_Roles,TBL2_4_DecisionMkg,TBL2_5_Planning,TBL3_TeamRating,TBL3_1_Engagement,TBL3_2_Conflict,TBL3_3_Roles,TBL3_4_DecisionMkg,TBL3_5_Planning
2019,1,14,4,3,2,3,2,17,4,4,2,4,3,18,4,4,3,4,3
2019,2,15,3,4,3,3,2,16,3,4,2,4,3,17,4,4,3,3,3
2019,3,18,4,4,4,3,3,20,4,4,4,4,4,20,4,4,4,4,4
2019,4,14,4,3,2,3,2,17,4,4,2,3,4,19,4,4,4,3,4
2019,5,15,3,3,3,3,3,20,4,4,4,4,4,19,4,4,4,4,3
2019,6,13,3,3,3,2,2,18,4,4,3,4,3,19,4,4,3,4,4
2019,7,14,4,3,2,3,2,20,4,4,4,4,4,20,4,4,4,4,4
2019,8,16,3,3,4,3,3,20,4,4,4,4,4,19,4,4,4,3,4
2019,9,18,4,4,3,4,3,18,4,4,2,4,4,19,4,4,3,4,4
2019,10,11,3,3,1,2,2,17,4,4,3,3,3,20,4,4,4,4,4
2019,11,12,3,3,2,2,2,20,4,4,4,4,4,20,4,4,4,4,4
2019,12,14,3,4,2,3,2,9999,9999,9999,9999,9999,9999,14,4,3,2,2,3
2019,13,17,4,4,2,4,3,16,4,4,2,4,2,19,4,4,4,3,4
2019,14,14,2,3,4,3,2,19,4,4,4,4,3,18,4,4,3,4,3
2019,15,15,3,4,2,2,4,15,3,4,2,3,3,15,4,3,2,3,3
2019,16,16,3,4,3,3,3,18,4,3,4,3,4,20,4,4,4,4,4
2019,17,14,4,3,2,3,2,9999,9999,9999,9999,9999,9999,18,4,3,4,4,3
2019,18,14,4,3,2,3,2,17,4,4,3,3,3,19,4,4,4,3,4
2019,19,16,3,4,2,4,3,9999,9999,9999,9999,9999,9999,18,4,3,3,4,4
2019,20,14,4,3,2,3,2,19,4,4,4,3,4,20,4,4,4,4,4
2019,21,15,4,3,3,2,3,19,4,4,4,4,3,20,4,4,4,4,4
2019,22,13,3,4,1,3,2,16,4,4,2,3,3,17,4,4,2,4,3
2019,23,18,4,4,4,3,3,18,4,4,3,4,3,20,4,4,4,4,4
2019,24,9999,9999,9999,9999,9999,9999,20,4,4,4,4,4,20,4,4,4,4,4
2019,25,13,3,3,2,3,2,18,4,4,3,4,3,17,4,4,3,3,3
2019,26,12,3,4,2,1,2,18,4,4,4,3,3,18,4,4,4,3,3
2020,1,12,3,4,2,3,0,18,4,4,3,4,3,18,4,4,3,4,3
2020,2,14,4,3,3,3,1,15,4,4,2,3,2,17,4,4,3,3,3
2020,3,15,3,4,3,3,2,19,4,4,4,4,3,19,4,4,4,4,3
2020,4,14,3,3,3,3,2,14,3,3,2,3,3,18,4,4,3,4,3
2020,5,19,4,4,4,3,4,19,4,4,4,3,4,19,4,4,4,4,3
2020,6,15,3,4,3,3,2,15,4,4,2,3,2,14,3,4,2,3,2
2020,7,10,2,1,2,3,2,16,3,4,3,3,3,20,4,4,4,4,4
2020,8,15,3,4,2,3,3,20,4,4,4,4,4,20,4,4,4,4,4
2020,9,15,3,4,2,3,3,17,4,4,3,3,3,17,4,4,3,3,3
2020,10,15,3,4,2,3,3,18,4,4,2,4,4,19,4,4,3,4,4
2020,11,15,3,4,3,3,2,16,4,4,2,3,3,17,4,4,3,3,3
2020,12,15,3,4,2,3,3,17,4,4,3,3,3,20,4,4,4,4,4
2020,13,14,3,3,3,3,2,16,4,4,2,3,3,19,4,4,3,4,4
2020,14,14,3,4,2,3,2,19,4,4,3,4,4,20,4,4,4,4,4
2020,15,14,3,4,2,3,2,17,3,4,3,4,3,19,4,4,4,4,3
2020,16,20,4,4,4,4,4,17,4,3,3,3,4,20,4,4,4,4,4
2020,17,13,3,3,2,3,2,16,4,4,3,3,2,14,4,3,2,3,2
2020,18,13,3,4,2,3,1,16,4,4,3,3,2,20,4,4,4,4,4
2020,19,18,3,4,3,4,4,18,4,4,3,3,4,20,4,4,4,4,4
2020,20,16,3,4,3,3,3,16,4,3,3,4,2,18,4,4,4,3,3
2020,21,14,3,4,2,3,2,18,4,4,3,4,3,18,4,4,3,4,3
2020,22,15,3,4,3,3,2,18,3,4,4,4,3,19,4,4,4,4,3
2020,23,13,3,4,2,3,1,18,4,4,3,4,3,20,4,4,4,4,4
2020,24,13,3,3,2,3,2,20,4,4,4,4,4,19,4,3,4,4,4
2020,25,14,3,3,2,4,2,16,3,4,3,4,2,18,4,4,3,3,4
2021,1,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
2021,2,14,4,3,2,3,2,17,4,4,2,4,3,20,4,4,4,4,4
2021,3,15,4,4,2,3,2,17,4,4,2,3,4,17,4,4,3,3,3
2021,4,20,4,4,4,4,4,18,4,3,3,4,4,20,4,4,4,4,4
2021,5,11,2,2,2,3,2,16,3,4,2,4,3,18,3,4,4,4,3
2021,6,17,3,4,3,3,4,19,4,4,4,3,4,20,4,4,4,4,4
2021,7,19,4,4,5,4,2,15,4,3,3,3,2,19,4,4,4,4,3
2021,8,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
2021,9,17,4,3,3,3,4,18,4,4,3,4,3,20,4,4,4,4,4
2021,10,17,3,4,4,3,3,20,4,4,4,4,4,20,4,4,4,4,4
2021,11,16,4,4,2,4,2,18,4,4,3,3,4,18,4,4,3,3,4
2021,12,18,4,4,3,3,4,20,4,4,4,4,4,20,4,4,4,4,4
2021,13,17,4,4,2,3,4,18,4,4,4,3,3,18,4,4,4,3,3
2021,14,18,4,4,2,4,4,17,4,4,2,4,3,19,4,4,4,4,3
2021,15,16,4,3,3,4,2,16,3,4,4,3,2,17,3,4,4,3,3
2021,16,17,4,4,3,4,2,19,4,4,4,3,4,20,4,4,4,4,4
2021,17,17,4,4,2,3,4,19,4,4,3,4,4,19,4,4,4,4,3
2021,18,17,3,4,3,3,4,16,4,4,2,4,2,19,4,4,4,3,4
2021,19,15,4,4,2,3,2,17,4,4,3,4,2,17,4,3,4,3,3
2021,20,17,4,4,2,3,4,9999,9999,9999,9999,9999,9999,20,4,4,4,4,4
2021,21,18,4,4,3,4,3,19,4,4,3,4,4,20,4,4,4,4,4
2021,22,17,4,4,2,4,3,15,4,4,2,3,2,19,4,4,4,4,3
2021,23,17,3,4,4,4,2,20,4,4,4,4,4,19,4,4,4,4,3
2021,24,16,4,4,2,3,3,17,4,4,4,3,2,20,4,4,4,4,4
2021,25,15,4,4,2,3,2,18,4,4,3,4,3,18,4,4,3,4,3
